pdb_id,molecule_name,entry_uniprot_accession,experimental_method,title
5fzl,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with 3D fragment 3-methyl-N-pyridin-4-yl-1,2-oxazole-5-carboxamide (N09954a) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fzm,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with 3D fragment 5-(2-fluorophenyl)-1,3-oxazole-4-carboxylic acid (N09989b) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fz6,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment N05859b (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fz7,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment ethyl 2-amino-4-thiophen-2-ylthiophene-3- carboxylate (N06131b) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fzh,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 4,5-dihydronaphtho(1,2-b)thiophene-2- carboxylicacid (N11181a) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fza,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,Crystal structure of the catalytic domain of human JARID1B in complex with 3D fragment 2-piperidin-4-yloxy-5-(trifluoromethyl)pyridine (N10072a) (ligand modelled based on PANDDA event map)
5fzc,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 4,5-dihydronaphtho(1,2-b)thiophene-2- carboxylicacid (N11181a) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fz1,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 2,4-dichloro-N-pyridin-3-ylbenzamide (E48115b) (ligand modelled based on PANDDA event map)"
5fz0,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with 2,5-dichloro-N-(pyridin-3-yl)thiophene-3-carboxamide (N08137b) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fzk,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with 3D fragment N,3-dimethyl-N-(pyridin-3-ylmethyl)-1,2-oxazole-5- carboxamide (N10051a) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fzb,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 4-Pyridylthiourea (N06275b) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fyy,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 3-pyridin-3-ylaniline (N05798a) (ligand modelled based on PANDDA event map)
5qdk,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000069a
5qew,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000470b
5qgl,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000275a
5qhy,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000462a
5qje,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z275181224
5qq9,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOOA000567a
5qrr,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z31720228
5qfs,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000293a
5qhs,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FF000014a
5qjx,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z2856434778
5qon,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOPL000446a
5qqu,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z1348371854
5qsp,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z2856434929
5q25,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000532a
5qdt,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000475a
5qeg,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000278a
5qfk,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000509a
5qh7,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000194a
5qpx,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000534a
5qr1,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z396380540
5qs9,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z48847594
5pox,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11075a
5pwc,Nuclear autoantigen Sp-100,H0Y4R8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SP100 in complex with E48115b
5qe6,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000608a
5qg7,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000611a
5qhr,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000635a
5qjs,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z979145504
5qpy,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000449a
5qs4,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z30820160
5pwd,Nuclear autoantigen Sp-100,H0Y4R8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of SP100 in complex with N09600b
5qp6,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z1662802141
5qqm,Ras-related C3 botulinum toxin substrate 1,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-565-325
5pnz,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10162a
5qpj,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000465a
5qrt,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z31735562
5phn,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09522a
5po6,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10157a
5q1k,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000074a
5q24,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000676a
5qe0,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000648a
5qfz,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000711a
5qi6,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000597a
5qjz,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1696822287
5qph,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000315a
5qrp,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z2442270563
5phg,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09689a
5poi,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11016a
5qed,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000538a
5qfv,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000491a
5qhe,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with RK4-350
5qk6,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1343633025
5qpk,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000586a
5qqx,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z373768900
5qsb,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z2856434874
